id	ja	zh-TW	en	ko
90	レッツクラフト！at海キャン TOP10	讓我們來製作吧！在海邊露營 TOP10	Let's Craft! at Seaside Camp TOP10	레츠 제작! at바다 캠핑 TOP10
91	レッツクラフト！at海キャン TOP50	讓我們來製作吧！在海邊露營 TOP50	Let's Craft! at Seaside Camp TOP50	레츠 제작! at바다 캠핑 TOP50
92	レッツクラフト！at海キャン TOP100	讓我們來製作吧！在海邊露營 TOP100	Let's Craft! at Seaside Camp TOP100	레츠 제작! at바다 캠핑 TOP100
93	レッツクラフト！at海キャン TOP500	讓我們來製作吧！在海邊露營 TOP500	Let's Craft! at Seaside Camp TOP500	레츠 제작! at바다 캠핑 TOP500
94	レッツクラフト！at海キャン TOP1000	讓我們來製作吧！在海邊露營 TOP1000	Let's Craft! at Seaside Camp TOP1000	레츠 제작! at바다 캠핑 TOP1000
95	レッツクラフト！at海キャン TOP5000	讓我們來製作吧！在海邊露營 TOP5000	Let's Craft! at Seaside Camp TOP5000	레츠 제작! at바다 캠핑 TOP5000
96	レッツクラフト！at海キャン TOP10000	讓我們來製作吧！在海邊露營 TOP10000	Let's Craft! at Seaside Camp TOP10000	레츠 제작! at바다 캠핑 TOP10000
10001	サポートカード	輔助卡	Support Card	서포트 카드
10002	各務原 なでしこ	各務原撫子	Nadeshiko Kagamihara	카가미하라 나데시코
10003	志摩 リン	志摩凜	Rin Shima	시마 린
10004	大垣 千明	大垣千明	Chiaki Ogaki	오가키 치아키
10005	犬山 あおい	犬山葵	Aoi Inuyama	이누야마 아오이
10006	斉藤 恵那	齊藤惠那	Ena Saito	사이토 에나
10007	プレイヤー	玩家	Player	플레이어
10008	イベント「○○」	活動「○○」	"Event: ""○○"""	"이벤트 ""○○"""
10009	期間 2021-05-01 ～ 2021-09-01	期間 2021-05-01 ～ 2021-09-01	Period: 2021-05-01 to 2021-09-01	기간 2021-05-01 ~ 2021-09-01
10010	キズナランキング（シーズン1）	羈絆排名（第1季）	Bond Ranking (Season 1)	키즈나 랭킹 (시즌 1)
10011	グループ称号テスト	測試團隊稱號	Group Title Test	그룹 칭호 테스트
10012	夜間瀬 玻璃	夜間瀬 玻璃	Hari Yomase	야간세 하리
20001	"開催イベントでポイントボーナス{0}%アップ
※所持しているだけで効果を発揮します"	"舉辦活動中點數獎勵增加{0}%
※只需持有即可發揮效果"	"Event Bonus: {0}% point increase
*Effective just by possessing"	"개최 이벤트에서 포인트 보너스 {0}% 업
※소지하고 있으면 효과 발휘"
20002	公開することで	公開	By Releasing	공개하기
