id	ja	zh-TW	en	ko
19	『シルバー会員★』の称号を獲得する	獲得『銀牌會員1』的稱號	"Obtain the ""Silver MBR 1"" Title"	『실버 회원 1』 의 칭호를 획득하다
20	『シルバー会員★2』の称号を獲得する	獲得『銀牌會員2』的稱號	"Obtain the ""Silver MBR 2"" Title"	『실버 회원 2』 의 칭호를 획득하다
21	『シルバー会員★3』の称号を獲得する	獲得『銀牌會員3』的稱號	"Obtain the ""Silver MBR 3"" Title"	『실버 회원 3』 의 칭호를 획득하다
22	『シルバー会員★4』の称号を獲得する	獲得『銀牌會員4』的稱號	"Obtain the ""Silver MBR 4"" Title"	『실버 회원 4』 의 칭호를 획득하다
23	『シルバー会員★5』の称号を獲得する	獲得『銀牌會員5』的稱號	"Obtain the ""Silver MBR 5"" Title"	『실버 회원 5』 의 칭호를 획득하다
24	『ゴールド会員★』の称号を獲得する	獲得『金牌會員1』的稱號	"Obtain the ""Gold MBR 1"" Title"	『골드 회원 1』 의 칭호를 획득하다
25	『ゴールド会員★2』の称号を獲得する	獲得『金牌會員2』的稱號	"Obtain the ""Gold MBR 2"" Title"	『골드 회원 2』 의 칭호를 획득하다
26	『ゴールド会員★3』の称号を獲得する	獲得『金牌會員3』的稱號	"Obtain the ""Gold MBR 3"" Title"	『골드 회원 3』 의 칭호를 획득하다
27	『ゴールド会員★4』の称号を獲得する	獲得『金牌會員4』的稱號	"Obtain the ""Gold MBR 4"" Title"	『골드 회원 4』 의 칭호를 획득하다
28	『ゴールド会員★5』の称号を獲得する	獲得『金牌會員5』的稱號	"Obtain the ""Gold MBR 5"" Title"	『골드 회원 5』 의 칭호를 획득하다
29	『ブラック会員』の称号を獲得する	獲得『黒牌會員』的稱號	"Obtain the ""Black MBR"" Title"	『블랙 회원』 의 칭호를 획득하다
30	"「夏だ！ビーチだ！海キャンだ！」の
イベントランキングで1位になる"	"在「夏天！沙灘！海邊露營！」
活動排行榜中獲得第1名。"	"""Sun, Sand, and Seaside Camp!""
 - Rank 1 in Event Rankings"	"""여름이다! 해변이다! 바다 캠핑이다!""
 이벤트 랭킹에서 1위에 오르기"
31	"「夏だ！ビーチだ！海キャンだ！」の
イベントランキングで2位になる"	"在「夏天！沙灘！海邊露營！」
活動排行榜中獲得第2名。"	"""Sun, Sand, and Seaside Camp!""
 - Rank 2 in Event Rankings"	"""여름이다! 해변이다! 바다 캠핑이다!""
 이벤트 랭킹에서 2위에 오르기"
32	"「夏だ！ビーチだ！海キャンだ！」の
イベントランキングで3位になる"	"在「夏天！沙灘！海邊露營！」
活動排行榜中獲得第3名。"	"""Sun, Sand, and Seaside Camp!""
 - Rank 3 in Event Rankings"	"""여름이다! 해변이다! 바다 캠핑이다!""
 이벤트 랭킹에서 3위에 오르기"
33	"「夏だ！ビーチだ！海キャンだ！」の
イベントランキングでTOP5になる"	"在「夏天！沙灘！海邊露營！」
活動排行榜中進入前5名。"	"""Sun, Sand, and Seaside Camp!""
 - Top 5 in Event Rankings"	"""여름이다! 해변이다! 바다 캠핑이다!""
 이벤트 랭킹에서 상위 5위 안에 들기"
34	"「夏だ！ビーチだ！海キャンだ！」の
イベントランキングでTOP10になる"	"在「夏天！沙灘！海邊露營！」
活動排行榜中進入前10名。"	"""Sun, Sand, and Seaside Camp!""
 - Top 10 in Event Rankings"	"""여름이다! 해변이다! 바다 캠핑이다!""
 이벤트 랭킹에서 상위 10위 안에 들기"
35	"「夏だ！ビーチだ！海キャンだ！」の
イベントランキングでTOP50になる"	"在「夏天！沙灘！海邊露營！」
活動排行榜中進入前50名。"	"""Sun, Sand, and Seaside Camp!""
 - Top 50 in Event Rankings"	"""여름이다! 해변이다! 바다 캠핑이다!""
 이벤트 랭킹에서 상위 50위 안에 들기"
36	"「夏だ！ビーチだ！海キャンだ！」の
イベントランキングでTOP100になる"	"在「夏天！沙灘！海邊露營！」
活動排行榜中進入前100名。"	"""Sun, Sand, and Seaside Camp!""
 - Top 100 in Event Rankings"	"""여름이다! 해변이다! 바다 캠핑이다!""
 이벤트 랭킹에서 상위 100위 안에 들기"
37	"「夏だ！ビーチだ！海キャンだ！」の
イベントランキングでTOP500になる"	"在「夏天！沙灘！海邊露營！」
活動排行榜中進入前500名。"	"""Sun, Sand, and Seaside Camp!""
 - Top 500 in Event Rankings"	"""여름이다! 해변이다! 바다 캠핑이다!""
 이벤트 랭킹에서 상위 500위 안에 들기"
38	"「夏だ！ビーチだ！海キャンだ！」の
イベントランキングでTOP1000になる"	"在「夏天！沙灘！海邊露營！」
活動排行榜中進入前1000名。"	"""Sun, Sand, and Seaside Camp!""
 - Top 1000 in Event Rankings"	"""여름이다! 해변이다! 바다 캠핑이다!""
 이벤트 랭킹에서 상위 1000위 안에 들기"
39	"「夏だ！ビーチだ！海キャンだ！」の
イベントランキングでTOP5000になる"	"在「夏天！沙灘！海邊露營！」
活動排行榜中進入前5000名。"	"""Sun, Sand, and Seaside Camp!""
 - Top 5000 in Event Rankings"	"""여름이다! 해변이다! 바다 캠핑이다!""
 이벤트 랭킹에서 상위 5000위 안에 들기"
40	"「夏だ！ビーチだ！海キャンだ！」の
イベントランキングでTOP10000になる"	"在「夏天！沙灘！海邊露營！」
活動排行榜中進入前10000名。"	"""Sun, Sand, and Seaside Camp!""
 - Top 10000 in Event Rankings"	"""여름이다! 해변이다! 바다 캠핑이다!""
 이벤트 랭킹에서 상위 10000위 안에 들기"
41	"「レッツクラフト！at海キャン」の
イベントランキングで1位になる"	"在「讓我們來製作吧！在海邊露營」
活動排行榜中獲得第1名。"	"""Let's Craft! at Seaside Camp""
 - Rank 1 in Event Rankings"	"""레츠 제작! at바다 캠핑""
 이벤트 랭킹에서 1위에 오르기"
42	"「レッツクラフト！at海キャン」の
イベントランキングで2位になる"	"在「讓我們來製作吧！在海邊露營」
活動排行榜中獲得第2名。"	"""Let's Craft! at Seaside Camp""
 - Rank 2 in Event Rankings"	"""레츠 제작! at바다 캠핑""
 이벤트 랭킹에서 2위에 오르기"
43	"「レッツクラフト！at海キャン」の
イベントランキングで3位になる"	"在「讓我們來製作吧！在海邊露營」
活動排行榜中獲得第3名。"	"""Let's Craft! at Seaside Camp""
 - Rank 3 in Event Rankings"	"""레츠 제작! at바다 캠핑""
 이벤트 랭킹에서 3위에 오르기"
44	"「レッツクラフト！at海キャン」の
イベントランキングでTOP5になる"	"在「讓我們來製作吧！在海邊露營」
活動排行榜中進入前5名。"	"""Let's Craft! at Seaside Camp""
 - Top 5 in Event Rankings"	"""레츠 제작! at바다 캠핑""
 이벤트 랭킹에서 상위 5위 안에 들기"
45	"「レッツクラフト！at海キャン」の
イベントランキングでTOP10になる"	"在「讓我們來製作吧！在海邊露營」
活動排行榜中進入前10名。"	"""Let's Craft! at Seaside Camp""
 - Top 10 in Event Rankings"	"""레츠 제작! at바다 캠핑""
 이벤트 랭킹에서 상위 10위 안에 들기"
46	"「レッツクラフト！at海キャン」の
イベントランキングでTOP50になる"	"在「讓我們來製作吧！在海邊露營」
活動排行榜中進入前50名。"	"""Let's Craft! at Seaside Camp""
 - Top 50 in Event Rankings"	"""레츠 제작! at바다 캠핑""
 이벤트 랭킹에서 상위 50위 안에 들기"
47	"「レッツクラフト！at海キャン」の
イベントランキングでTOP100になる"	"在「讓我們來製作吧！在海邊露營」
活動排行榜中進入前100名。"	"""Let's Craft! at Seaside Camp""
 - Top 100 in Event Rankings"	"""레츠 제작! at바다 캠핑""
 이벤트 랭킹에서 상위 100위 안에 들기"
48	"「レッツクラフト！at海キャン」の
イベントランキングでTOP500になる"	"在「讓我們來製作吧！在海邊露營」
活動排行榜中進入前500名。"	"""Let's Craft! at Seaside Camp""
 - Top 500 in Event Rankings"	"""레츠 제작! at바다 캠핑""
 이벤트 랭킹에서 상위 500위 안에 들기"
49	"「レッツクラフト！at海キャン」の
イベントランキングでTOP1000になる"	"在「讓我們來製作吧！在海邊露營」
活動排行榜中進入前1000名。"	"""Let's Craft! at Seaside Camp""
 - Top 1000 in Event Rankings"	"""레츠 제작! at바다 캠핑""
 이벤트 랭킹에서 상위 1000위 안에 들기"
50	"「レッツクラフト！at海キャン」の
イベントランキングでTOP5000になる"	"在「讓我們來製作吧！在海邊露營」
活動排行榜中進入前5000名。"	"""Let's Craft! at Seaside Camp""
 - Top 5000 in Event Rankings"	"""레츠 제작! at바다 캠핑""
 이벤트 랭킹에서 상위 5000위 안에 들기"
51	"「レッツクラフト！at海キャン」の
イベントランキングでTOP10000になる"	"在「讓我們來製作吧！在海邊露營」
活動排行榜中進入前10000名。"	"""Let's Craft! at Seaside Camp""
 - Top 10000 in Event Rankings"	"""레츠 제작! at바다 캠핑""
 이벤트 랭킹에서 상위 10000위 안에 들기"
52	"「浴衣キャンプと夏花火」の
イベントランキングで1位になる"	"在「浴衣露營與夏日煙火」
活動排行榜中獲得第1名。"	"""Yukata Camp And Fireworks""
 - Rank 1 in Event Rankings"	"""유카타 캠핑과 여름 불꽃놀이""
 이벤트 랭킹에서 1위에 오르기"
53	"「浴衣キャンプと夏花火」の
イベントランキングで2位になる"	"在「浴衣露營與夏日煙火」
活動排行榜中獲得第2名。"	"""Yukata Camp And Fireworks""
 - Rank 2 in Event Rankings"	"""유카타 캠핑과 여름 불꽃놀이""
 이벤트 랭킹에서 2위에 오르기"
54	"「浴衣キャンプと夏花火」の
イベントランキングで3位になる"	"在「浴衣露營與夏日煙火」
活動排行榜中獲得第3名。"	"""Yukata Camp And Fireworks""
 - Rank 3 in Event Rankings"	"""유카타 캠핑과 여름 불꽃놀이""
 이벤트 랭킹에서 3위에 오르기"
55	"「浴衣キャンプと夏花火」の
イベントランキングでTOP5になる"	"在「浴衣露營與夏日煙火」
活動排行榜中進入前5名。"	"""Yukata Camp And Fireworks""
 - Top 5 in Event Rankings"	"""유카타 캠핑과 여름 불꽃놀이""
 이벤트 랭킹에서 상위 5위 안에 들기"
56	"「浴衣キャンプと夏花火」の
イベントランキングでTOP10になる"	"在「浴衣露營與夏日煙火」
活動排行榜中進入前10名。"	"""Yukata Camp And Fireworks""
 - Top 10 in Event Rankings"	"""유카타 캠핑과 여름 불꽃놀이""
 이벤트 랭킹에서 상위 10위 안에 들기"
57	"「浴衣キャンプと夏花火」の
イベントランキングでTOP50になる"	"在「浴衣露營與夏日煙火」
活動排行榜中進入前50名。"	"""Yukata Camp And Fireworks""
 - Top 50 in Event Rankings"	"""유카타 캠핑과 여름 불꽃놀이""
 이벤트 랭킹에서 상위 50위 안에 들기"
58	"「浴衣キャンプと夏花火」の
イベントランキングでTOP100になる"	"在「浴衣露營與夏日煙火」
活動排行榜中進入前100名。"	"""Yukata Camp And Fireworks""
 - Top 100 in Event Rankings"	"""유카타 캠핑과 여름 불꽃놀이""
 이벤트 랭킹에서 상위 100위 안에 들기"
59	"「浴衣キャンプと夏花火」の
イベントランキングでTOP500になる"	"在「浴衣露營與夏日煙火」
活動排行榜中進入前500名。"	"""Yukata Camp And Fireworks""
 - Top 500 in Event Rankings"	"""유카타 캠핑과 여름 불꽃놀이""
 이벤트 랭킹에서 상위 500위 안에 들기"
60	"「浴衣キャンプと夏花火」の
イベントランキングでTOP1000になる"	"在「浴衣露營與夏日煙火」
活動排行榜中進入前1000名。"	"""Yukata Camp And Fireworks""
 - Top 1000 in Event Rankings"	"""유카타 캠핑과 여름 불꽃놀이""
 이벤트 랭킹에서 상위 1000위 안에 들기"
61	"「浴衣キャンプと夏花火」の
イベントランキングでTOP5000になる"	"在「浴衣露營與夏日煙火」
活動排行榜中進入前5000名。"	"""Yukata Camp And Fireworks""
 - Top 5000 in Event Rankings"	"""유카타 캠핑과 여름 불꽃놀이""
 이벤트 랭킹에서 상위 5000위 안에 들기"
62	"「浴衣キャンプと夏花火」の
イベントランキングでTOP10000になる"	"在「浴衣露營與夏日煙火」
活動排行榜中進入前10000名。"	"""Yukata Camp And Fireworks""
 - Top 10000 in Event Rankings"	"""유카타 캠핑과 여름 불꽃놀이""
 이벤트 랭킹에서 상위 10000위 안에 들기"
63	"「レッツクラフト！atお祭りキャンプ」の
イベントランキングで1位になる"	"在「讓我們來製作吧！在祭典露營」
活動排行榜中獲得第1名。"	"""Let's Craft! at Festival Camp""
 - Rank 1 in Event Rankings"	"""레츠 제작! at축제 캠프""
 이벤트 랭킹에서 1위에 오르기"
64	"「レッツクラフト！atお祭りキャンプ」の
イベントランキングで2位になる"	"在「讓我們來製作吧！在祭典露營」
活動排行榜中獲得第2名。"	"""Let's Craft! at Festival Camp""
 - Rank 2 in Event Rankings"	"""레츠 제작! at축제 캠프""
 이벤트 랭킹에서 2위에 오르기"
65	"「レッツクラフト！atお祭りキャンプ」の
イベントランキングで3位になる"	"在「讓我們來製作吧！在祭典露營」
活動排行榜中獲得第3名。"	"""Let's Craft! at Festival Camp""
 - Rank 3 in Event Rankings"	"""레츠 제작! at축제 캠프""
 이벤트 랭킹에서 3위에 오르기"
66	"「レッツクラフト！atお祭りキャンプ」の
イベントランキングでTOP5になる"	"在「讓我們來製作吧！在祭典露營」
活動排行榜中進入前5名。"	"""Let's Craft! at Festival Camp""
 - Top 5 in Event Rankings"	"""레츠 제작! at축제 캠프""
 이벤트 랭킹에서 상위 5위 안에 들기"
67	"「レッツクラフト！atお祭りキャンプ」の
イベントランキングでTOP10になる"	"在「讓我們來製作吧！在祭典露營」
活動排行榜中進入前10名。"	"""Let's Craft! at Festival Camp""
 - Top 10 in Event Rankings"	"""레츠 제작! at축제 캠프""
 이벤트 랭킹에서 상위 10위 안에 들기"
68	"「レッツクラフト！atお祭りキャンプ」の
イベントランキングでTOP50になる"	"在「讓我們來製作吧！在祭典露營」
活動排行榜中進入前50名。"	"""Let's Craft! at Festival Camp""
 - Top 50 in Event Rankings"	"""레츠 제작! at축제 캠프""
 이벤트 랭킹에서 상위 50위 안에 들기"
69	"「レッツクラフト！atお祭りキャンプ」の
イベントランキングでTOP100になる"	"在「讓我們來製作吧！在祭典露營」
活動排行榜中進入前100名。"	"""Let's Craft! at Festival Camp""
 - Top 100 in Event Rankings"	"""레츠 제작! at축제 캠프""
 이벤트 랭킹에서 상위 100위 안에 들기"
70	"「レッツクラフト！atお祭りキャンプ」の
イベントランキングでTOP500になる"	"在「讓我們來製作吧！在祭典露營」
活動排行榜中進入前500名。"	"""Let's Craft! at Festival Camp""
 - Top 500 in Event Rankings"	"""레츠 제작! at축제 캠프""
 이벤트 랭킹에서 상위 500위 안에 들기"
71	"「レッツクラフト！atお祭りキャンプ」の
イベントランキングでTOP1000になる"	"在「讓我們來製作吧！在祭典露營」
活動排行榜中進入前1000名。"	"""Let's Craft! at Festival Camp""
 - Top 1000 in Event Rankings"	"""레츠 제작! at축제 캠프""
 이벤트 랭킹에서 상위 1000위 안에 들기"
72	"「レッツクラフト！atお祭りキャンプ」の
イベントランキングでTOP5000になる"	"在「讓我們來製作吧！在祭典露營」
活動排行榜中進入前5000名。"	"""Let's Craft! at Festival Camp""
 - Top 5000 in Event Rankings"	"""레츠 제작! at축제 캠프""
 이벤트 랭킹에서 상위 5000위 안에 들기"
73	"「レッツクラフト！atお祭りキャンプ」の
イベントランキングでTOP10000になる"	"在「讓我們來製作吧！在祭典露營」
活動排行榜中進入前10000名。"	"""Let's Craft! at Festival Camp""
 - Top 10000 in Event Rankings"	"""레츠 제작! at축제 캠프""
 이벤트 랭킹에서 상위 10000위 안에 들기"
74	"「ひろえ！松ぼっくり」の
ハイコスアランキングで1位になる"	0	0	0
75	"「ひろえ！松ぼっくり」の
ハイコスアランキングで2位になる"	0	0	0
76	"「ひろえ！松ぼっくり」の
ハイコスアランキングで3位になる"	0	0	0
77	"「ひろえ！松ぼっくり」の
ハイコスアランキングでTop10になる"	0	0	0
78	"「ひろえ！松ぼっくり」の
ハイコスアランキングでTop100になる"	0	0	0
79	"「ひろえ！松ぼっくり」の
ハイコスアランキングでTop1000になる"	0	0	0
80	「ミニマツ交換」で松ぼっくりを2000個獲得する	0	0	0
81	「ひろえ！松ぼっくり」1回のプレーでミニ松を200個集める	0	0	0
82	"「第1回レポキャン」の
ハイスコアランキングで1位になる"	"在「第一回 報告露營」
活動排行榜中獲得第1名。"	"""1st Report Camp""
 - Rank 1 in Event Rankings"	"""제1회 레포트 캠핑""
 이벤트 랭킹에서 1위에 오르기"
83	"「第1回レポキャン」の
ハイスコアランキングで2位になる"	"在「第一回 報告露營」
活動排行榜中獲得第2名。"	"""1st Report Camp""
 - Rank 2 in Event Rankings"	"""제1회 레포트 캠핑""
 이벤트 랭킹에서 2위에 오르기"
84	"「第1回レポキャン」の
ハイスコアランキングで3位になる"	"在「第一回 報告露營」
活動排行榜中獲得第3名。"	"""1st Report Camp""
 - Rank 3 in Event Rankings"	"""제1회 레포트 캠핑""
 이벤트 랭킹에서 3위에 오르기"
85	"「第1回レポキャン」の
ハイスコアランキングでTOP5になる"	"在「第一回 報告露營」
活動排行榜中進入前5名。"	"""1st Report Camp""
 - Top 5 in Event Rankings"	"""제1회 레포트 캠핑""
 이벤트 랭킹에서 상위 5위 안에 들기"
86	"「第1回レポキャン」の
ハイスコアランキングでTOP10になる"	"在「第一回 報告露營」
活動排行榜中進入前10名。"	"""1st Report Camp""
 - Top 10 in Event Rankings"	"""제1회 레포트 캠핑""
 이벤트 랭킹에서 상위 10위 안에 들기"
87	"「第1回レポキャン」の
ハイスコアランキングでTOP50になる"	"在「第一回 報告露營」
活動排行榜中進入前50名。"	"""1st Report Camp""
 - Top 50 in Event Rankings"	"""제1회 레포트 캠핑""
 이벤트 랭킹에서 상위 50위 안에 들기"
88	"「第1回レポキャン」の
ハイスコアランキングでTOP100になる"	"在「第一回 報告露營」
活動排行榜中進入前100名。"	"""1st Report Camp""
 - Top 100 in Event Rankings"	"""제1회 레포트 캠핑""
 이벤트 랭킹에서 상위 100위 안에 들기"
89	"「第1回レポキャン」の
決勝戦でふじさん級を獲得する"	"在「第一回 報告露營」
取得好成績"	"""1st Report Camp""
 - Achieve good results"	"""제1회 레포트 캠핑""
 좋은 성적을 남기다"
90	"「第1回レポキャン」の
決勝戦でやまごや級を獲得する"	"在「第一回 報告露營」
取得好成績"	"""1st Report Camp""
 - Achieve good results"	"""제1회 레포트 캠핑""
 좋은 성적을 남기다"
91	"「第1回レポキャン」の
決勝戦でテント級を獲得する"	"在「第一回 報告露營」
取得好成績"	"""1st Report Camp""
 - Achieve good results"	"""제1회 레포트 캠핑""
 좋은 성적을 남기다"
92	"「第1回レポキャン」の
決勝戦で松ぼっくり級を獲得する"	"在「第一回 報告露營」
取得好成績"	"""1st Report Camp""
 - Achieve good results"	"""제1회 레포트 캠핑""
 좋은 성적을 남기다"
93	"「野クル△トライブ！」の
イベントランキングで1位になる"	"在「野活組△兜風！」
活動排行榜中獲得第1名。"	"""Outclub△Tribe!""
 - Rank 1 in Event Rankings"	"""야클△트라이브!""
 이벤트 랭킹에서 1위에 오르기"
94	"「野クル△トライブ！」の
イベントランキングで2位になる"	"在「野活組△兜風！」
活動排行榜中獲得第2名。"	"""Outclub△Tribe!""
 - Rank 2 in Event Rankings"	"""야클△트라이브!""
 이벤트 랭킹에서 2위에 오르기"
95	"「野クル△トライブ！」の
イベントランキングで3位になる"	"在「野活組△兜風！」
活動排行榜中獲得第3名。"	"""Outclub△Tribe!""
 - Rank 3 in Event Rankings"	"""야클△트라이브!""
 이벤트 랭킹에서 3위에 오르기"
96	"「野クル△トライブ！」の
イベントランキングでTOP5になる"	"在「野活組△兜風！」
活動排行榜中進入前5名。"	"""Outclub△Tribe!""
 - Top 5 in Event Rankings"	"""야클△트라이브!""
 이벤트 랭킹에서 상위 5위 안에 들기"
97	"「野クル△トライブ！」の
イベントランキングでTOP10になる"	"在「野活組△兜風！」
活動排行榜中進入前10名。"	"""Outclub△Tribe!""
 - Top 10 in Event Rankings"	"""야클△트라이브!""
 이벤트 랭킹에서 상위 10위 안에 들기"
98	"「野クル△トライブ！」の
イベントランキングでTOP50になる"	"在「野活組△兜風！」
活動排行榜中進入前50名。"	"""Outclub△Tribe!""
 - Top 50 in Event Rankings"	"""야클△트라이브!""
 이벤트 랭킹에서 상위 50위 안에 들기"
99	"「野クル△トライブ！」の
イベントランキングでTOP100になる"	"在「野活組△兜風！」
活動排行榜中進入前100名。"	"""Outclub△Tribe!""
 - Top 100 in Event Rankings"	"""야클△트라이브!""
 이벤트 랭킹에서 상위 100위 안에 들기"
100	"「野クル△トライブ！」の
イベントランキングでTOP500になる"	"在「野活組△兜風！」
活動排行榜中進入前500名。"	"""Outclub△Tribe!""
 - Top 500 in Event Rankings"	"""야클△트라이브!""
 이벤트 랭킹에서 상위 500위 안에 들기"
101	"「野クル△トライブ！」の
イベントランキングでTOP1000になる"	"在「野活組△兜風！」
活動排行榜中進入前1000名。"	"""Outclub△Tribe!""
 - Top 1000 in Event Rankings"	"""야클△트라이브!""
 이벤트 랭킹에서 상위 1000위 안에 들기"
102	"「野クル△トライブ！」の
イベントランキングでTOP5000になる"	"在「野活組△兜風！」
活動排行榜中進入前5000名。"	"""Outclub△Tribe!""
 - Top 5000 in Event Rankings"	"""야클△트라이브!""
 이벤트 랭킹에서 상위 5000위 안에 들기"
103	"「野クル△トライブ！」の
イベントランキングでTOP10000になる"	"在「野活組△兜風！」
活動排行榜中進入前10000名。"	"""Outclub△Tribe!""
 - Top 10000 in Event Rankings"	"""야클△트라이브!""
 이벤트 랭킹에서 상위 10000위 안에 들기"
1001	トータルやる事リストを{0}個クリアする	完成{0}個總任務清單	Clear {0} items from the total to-do list	총 {0}개의 할일 리스트을 클리어
1002	通算ログイン30日を達成する	達成累計登入30天	Achieve 30 days total login	누적 로그인 30일 달성
1003	通算ログイン{0}日を達成する	達成累計登入{0}天	Achieve {0} days of total login	누적 로그인 {0}일 달성
1004	キャンパーランクを{0}にする	將遊戲者等級設為{0}	Set Camper Rank to {0}	캠퍼 랭크 {0} 달설
1005	キャンプを{0}回クリアする	清除{0}次營地	Clear Camp {0} times	캠핑을  {0}회 클리어
1006	ゆるナビチャプター11をクリアする	完成輕鬆導航第11章	Clear Chapter 11 in Yuru Navi	유루내비 챕터 11 클리어
1007	ゆるナビチャプター22をクリアする	完成寬鬆導航第22章	Clear Chapter 22 in Yuru Navi	유루내비 챕터 22 클리어
1008	ゆるナビチャプター33をクリアする	完成寬鬆導航第33章	Clear Chapter 33 in Yuru Navi	유루내비 챕터 33 클리어
1009	ゆるナビチャプター44をクリアする	完成寬鬆導航第44章	Clear Chapter 44 of Yuru Navi	유루내비 챕터 44 클리어
1010	ゆるナビチャプター55をクリアする	完成輕鬆導航第55章	Clear Chapter 55 of Yuru Navi	유루내비 챕터 55 클리어
1011	キャンプ「みんなで本栖湖、薪割り競争」をクリアする	完成營地「大家一起本栖湖，劈柴比賽」	"Clear Camp ""Lake Motosu Wood Chopping Race with Everyone"""	"캠핑 ""다 함께 모토스호, 장작 패기 경쟁"" 클리어"
1012	キャンプ「ちくわと遊ぼう！」をクリアする	完成營地「一起玩竹輪！」	"Clear Camp ""Play with Chikuwa!"""	"캠핑 ""치쿠와와 놀자!"" 클리어"
1013	キャンプ「夜の灯りとお料理キャンプ」をクリアする	完成營地「夜晚燈光與料理營地」	"Clear Camp ""Night Lights and Cooking Camp"""	"캠핑 ""밤의 불빛과 요리 캠핑"" 클리어"
1014	キャンプ「ウッドキャンドルりべんじ！」をクリアする	完成營地「木頭蠟燭復仇！」	"Clear Camp ""Wood Candle Revenge!"""	"캠핑 ""우드 캔들 리벤지!"" 클리어"
1015	キャンプ「夏の海でスイカ割り」をクリアする	通過營地「在夏天海邊打西瓜」	"Clear Camp ""Summer Beach Watermelon Games"""	"캠핑 ""여름 바다에서 수박 깨기"" 클리어"
1016	メインストーリー第一話①を閲覧する	瀏覽主線故事第一話①	View Main Story Episode 1-1	메인 스토리 제1화 ① 보기
1017	メインストーリー第一話②を閲覧する	瀏覽主線故事第一話②	View Main Story Episode 1-2	메인 스토리 제1화 ② 보기
