id	key	text	text_en	text_tw	text_ko	priority	open_date	close_date	open_time	close_time
1600	appointment_default_member_message_2	“哥哥……還沒有。”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1700	appointment_default_member_message_3	“你先去集合地點！”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1800	home_licence_expired_message	"兄弟！ 
我的會員資格/禮包/通行證已過期！ 
你想看看商店嗎？"				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1900	push_chat_new_notification	撫子：“啊！收到回復了。”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2000	initial_comment	謝謝				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2100	aprilgame_howto	"讓我們穿過森林，從書呆子手中救出小月和他的朋友們！

吃個漢堡包，加快速度！ 
 通過加速、移動或用翅膀跳躍來避開岩石！ 

在計時器用完之前瞄準下一個終點線！ 
――小哥哥我要惹你了！ ！"				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2200	PresenBox_message_01	超過持卡限額獲得的卡				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2300	team_report_team_result	"昨天的結果
・獲得 EP %dpt（總計 %dpt）
・當前排名 %d rank%s"				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2400	team_report_personal_performance	拼圖：%d 次獲得：%dep				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2500	push_team_boost_notification	萊說：“團隊提升已經啟動！”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2600	shop_sharing_present	這是來自 %s 的禮物。				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2700	shop_sharing_push	Rai說，“我從[%s]先生那裡得到了一份！”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2800	common_message_nadeshiko	我應該怎麼辦？				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
2900	common_message_rin	我應該怎麼辦？				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3000	common_message_chiaki	我應該怎麼辦？				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3100	common_message_aoi	我應該怎麼辦？				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3200	common_message_ena	我應該怎麼辦？				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3300	guild_notification_member_join	“{0} 已加入社團”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3400	guild_notification_member_leave	“{0} 已經離開社團”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3500	guild_notification_week_mvp	“{0} 贏得了本週的 MVP”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3600	guild_notification_none_week_mvp	“上週沒有獲得本週 MVP。”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3700	guild_notification_month_mvp	“{0} 贏得了本月的 MVP”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3800	guild_notification_none_month_mvp	“上個月沒有月度 MVP 獲得者。”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
3900	guild_notification_change_leader	“{0} 已被任命為 {1}”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
4000	guild_notification_change_sub_leader	“{0} 已被任命為 {1}”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
4100	guild_notification_level_up	“你已經成為社團Lv{0}”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
4200	guild_notification_level_up_icon	“社團圖標邊框已升級”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
4300	guild_notification_level_up_member	“社團成員數量已增加到 {0}”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
4400	guild_notification_level_up_sub_leader	“副團長人數增加到{0}”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
4500	guild_notification_level_up_login	“你的社團登錄獎勵升級了”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
4600	guild_notification_level_up_shop	“社團商城升級了”				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
4700	guild_notification_level_up_mission	《社團活動升級了》				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
4800	default_user_last_name	姓				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
4900	default_user_first_name	給定的名稱				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
5000	default_user_last_name_kana	姓				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
5100	default_user_first_name_kana	可能				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
5200	default_user_nickname	旅游爱好者,△,鬆散露營客,露營者連接,富士山愛好者,竹輪,孙骑士团,我喜歡富士山,獨自露營者,女孩開玩笑,情緒製造者,我行我素,牛妖,松球				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
6101	rental_report_reward_text	野外活動報告租借{0}次的獎勵。				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
6102	rental_support_reward_text	輔助卡租借{0}次的獎勵。				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
7101	guild_notification_mission_clear	{0}完成了社團活動。				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
7102	guild_mission_clear_present_message	{0}先生完成社團活動的獎勵。				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
8101	exceed_ap_item_text	剩餘AP獎勵				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
